Situation 	Topic	Message	Message type	Values 	sub values 
in-vehicle	Arrive late	I might arrive late; would you like to schedule a new __?	Scheduling plans	"Meeting ,appointment, interview, call, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
in-vehicle	Arrive late	__ might arrive late; would you like to schedule a new __?	Scheduling plans	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Meeting ,appointment, interview, call, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
in-vehicle	Arrive late	"If you are going to be late, would you like to schedule a new __?"	Scheduling plans	"Meeting ,appointment, interview, call, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
in-vehicle	Arrive late	"If __ is going to be late, would you like to schedule a new __?"	Scheduling plans	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Meeting ,appointment, interview, call, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
in-vehicle	Waiting 	"I am ready to get off the __, wait a few minutes"	Notifying someone	"Bus, train, car, plane "	
in-vehicle	Waiting 	"I am ready to get off the __, wait for __"	Notifying someone	"Bus, train, car, plane -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
waiting at stations	Waiting 	"If you won't get here on time, I can wait"	Notifying someone		
waiting at stations	Waiting 	"If you won't get here on time, I can wait for __"	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
in-vehicle	Waiting 	Are you still waiting for me?	Notifying someone		
in-vehicle	Waiting 	Are you still waiting for __?	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
in-vehicle	Waiting 	I will wait for you at the __	Notifying someone	"Front door, gate, airport, entrance, exit"	
in-vehicle	Waiting 	__ will wait for you at the __	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Front door, gate, airport, entrance, exit"	
waiting at stations	Waiting 	How long do __ have to wait?	Notifying someone	"I, we"	
waiting at stations	Waiting 	I will wait until __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Waiting 	Could you please wait for __?	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour"	
nearby points-of-interest	Waiting 	I am waiting at the __	Notifying someone	"Front door, gate, airport, entrance, exit"	
nearby points-of-interest	Waiting 	__ is waiting at the __	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Front door, gate, airport, entrance, exit"	
nearby points-of-interest	Waiting 	I am still waiting for my __	Notifying someone	"ride, flight, friend, family, son, daughter, wife, husband, colleague, package "	
nearby points-of-interest	Waiting 	I’ve been waiting for a long time for my __	Notifying someone	"ride, flight, friend, family, son, daughter, wife, husband, colleague "	
nearby frequently visited locations	Waiting 	I am waiting right next to **	Notifying someone		
nearby frequently visited locations	Waiting 	__ is waiting right next to **	Notifying someone	" The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
nearby points-of-interest	Waiting 	"I’m already outside, waiting for you "	Notifying someone		
nearby points-of-interest	Waiting 	"__ is already outside, waiting for you "	Notifying someone	" The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
nearby frequently visited locations	Waiting 	I’m still waiting to be picked up 	Notifying someone		
nearby points-of-interest	Waiting 	I am waiting for you to come	Notifying someone		
nearby points-of-interest	Waiting 	__ is waiting for you to come	Notifying someone	" The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
nearby points-of-interest	Waiting 	I will wait for my __	Notifying someone	"friend, family, son, daughter, wife, husband, colleague, mom, dad"	
in-vehicle	Waiting 	Wait a few minutes!	Notifying someone		
in-vehicle	Waiting 	Wait a few seconds!	Notifying someone		
in-vehicle	Waiting 	There is no need to wait for me 	Notifying someone		
in-vehicle	Waiting 	There is no need to wait for __	Notifying someone	" The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
in-vehicle	Waiting 	I am not waiting anymore 	Notifying someone		
nearby points-of-interest	Waiting 	I am still waiting to meet my __	Notifying someone	"Friend, colleague, family"	
nearby points-of-interest	Waiting 	I am waiting for someone to bring __	Notifying someone	"Food, lunch, dinner, breakfast"	
nearby points-of-interest	Waiting 	I am waiting for __	Notifying someone	"lunch, dinner, breakfast"	
nearby points-of-interest	Waiting 	I am still waiting for someone	Notifying someone		
nearby points-of-interest	Waiting 	I am waiting for my __ to return	Notifying someone	"friend, family, son, mom, dad, daughter, wife, husband, colleague "	
nearby points-of-interest	Waiting 	__ will wait for you	Notifying someone	"I, we, others"	
inside points-of-interest	Waiting 	__ are waiting for you	Notifying someone	"we, others"	
waiting at stations	Waiting 	I am still waiting for the __	Notifying someone	"Bus, train, driver, taxi"	
waiting at stations	Waiting 	__ is still waiting for the __	Notifying someone	" The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Bus, train, driver, taxi"	
nearby points-of-interest	Waiting 	I’ve been waiting for a long time 	Notifying someone		
nearby points-of-interest	Waiting 	"There is a queue here, I am still waiting "	Notifying someone		
nearby points-of-interest	Waiting 	I am waiting at *	Notifying someone		
nearby points-of-interest	Waiting 	I am waiting outside the *	Notifying someone		
inside points-of-interest	Waiting 	I am waiting for boarding at the airport 	Notifying someone		
nearby points-of-interest	Waiting 	We are still waiting for our __	Notifying someone	"Guest, speaker, package"	
nearby points-of-interest	Waiting 	I am waiting for  __ to go to __	Notifying someone	"My parents, the son, the daughter, the wife, the husband – work, school, sleep, class, "	
in-vehicle	Waiting 	My __ is waiting for me	Notifying someone	"Son, daughter, wife, husband, colleague, friend, mom, dad"	
in-vehicle	Waiting 	My __ are waiting for me	Notifying someone	"Parents, family, colleagues, friends"	
waiting at stations	Waiting 	I have been waiting for the __ for a long time; can you check what is going on?	Requesting help	"Bus, train"	
nearby points-of-interest	Waiting 	I have been waiting for our __ for a long time; can you check what is going on?	Requesting help	"Guests, friends, speaker"	
waiting at stations	Waiting 	I have been waiting for the __ for a long time; can you give me a ride?	Requesting help	"Bus, train, driver, taxi"	
waiting at stations	Waiting 	I have been waiting for the __ for a long time; can you request a ride?	Requesting help	"Bus, train, driver, taxi"	
waiting at stations	Waiting 	I have been waiting for the __ for a long time; can you ask __ for ride?	Requesting help	"Bus, train, driver, taxi -- Someone, the son, mom, my friend, dad, the daughter, my wife, my husband "	
waiting at stations	Waiting 	I have been waiting for a long time. Can we cancel our __?  	Scheduling plans	"Meeting ,appointment, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
waiting at stations	Waiting 	I have been waiting for a long time. Do you want to cancel our __?  	Scheduling plans		
waiting at stations	Waiting 	I have been waiting for the __ for a long time. Can we cancel our __?  	Scheduling plans	"Bus, train, driver, taxi -- Meeting ,appointment, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
waiting at stations	Waiting 	I have been waiting for the __ for a long time. Do you want to cancel our __?  	Scheduling plans		
waiting at stations	Waiting 	I have been waiting for a long time. Do you want to reschedule the __?	Rescheduling plans	"Meeting ,appointment, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
waiting at stations	Waiting 	I have been waiting for the __ for a long time. Do you want to reschedule the __?	Rescheduling plans	"Bus, train, driver, taxi -- Meeting ,appointment, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
in-vehicle	Waiting 	Have you waited for the __ for a long time? I am on the way and can share the ride 	Offering help	"Bus, train, driver, taxi "	
in-vehicle	Waiting 	Have you waited for the __ for a long time? If you would like I can give you a ride	Offering help	"Bus, train, driver, taxi "	
in-vehicle	Waiting 	"Have you waited for the __ for a long time? If so, I can ask __ to give you a ride"	Offering help	"Bus, train, driver, taxi -- Someone, the son, mom, my friend, dad, the daughter, my wife, my husband "	
waiting at stations	Waiting 	Remember that I am going to wait at the __	Reminding someone	"Front door, gate, airport, entrance, exit, bus stop, train station"	
waiting at stations	Waiting 	Remember that __ is going to wait at the __	Reminding someone	" The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Front door, gate, airport, entrance, exit, bus stop, train station"	
waiting at stations	Waiting 	Remember that I am going to wait at the __ at __	Reminding someone	"Front door, gate, airport, entrance, exit, bus stop, train station -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Waiting 	Remember that __ is going to wait at the __ at __	Reminding someone	" The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Front door, gate, airport, entrance, exit, bus stop, train station -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Waiting 	Remember you have to wait at the __ for me to find you	Reminding someone	"Front door, gate, airport, entrance, exit, bus stop, train station"	
waiting at stations	Waiting 	Remember you have to wait at the __ at __ for me to find you	Reminding someone	"Front door, gate, airport, entrance, exit, bus stop, train station -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	I should be there in __	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
in-vehicle	Arrival time	I should get off the bus in __	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
in-vehicle	Arrival time	I am going to be home at __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	__ is going to be home at __	Notifying someone	" The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	I am going to arrive a few minutes earlier 	Notifying someone		
in-vehicle	Arrival time	The __ arrived early	Notifying someone	" Bus, train, Uber, driver, doctor, flight, taxi "	
in-vehicle	Arrival time	The __ arrived __ earlier	Notifying someone	"Bus, train, Uber, driver, doctor, flight, taxi -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
in-vehicle	Arrival time	The plane landed early 	Notifying someone		
in-vehicle	Arrival time	I’ll be there at __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	__ will be there at __	Notifying someone	" The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Arrival time	The train will arrive at __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	" 05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Arrival time	The bus will arrive at __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	I will reach the __ in __	Notifying someone	"Bus, train, station, airport -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
inside frequently visited locations	Arrival time	I am leaving at __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside frequently visited locations	Arrival time	__ is leaving at __	Notifying someone	" The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside points-of-interest	Arrival time	I arrived at __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside points-of-interest	Arrival time	I arrived __ ago	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
inside points-of-interest	Arrival time	__ arrived __ ago	Notifying someone	"Dad, mom, the son, the daughter, my wife, my husband, my friend, my colleague -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
waiting at stations	Arrival time	It will take __ by train to arrive	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour, 1 hour 15 min, 1 hour and a half, 2 hours, 2 hours and a half, 3 hours"	
waiting at stations	Arrival time	It will take __ by bus to arrive	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour, 1 hour 15 min, 1 hour and a half, 2 hours, 2 hours and a half, 3 hours"	
waiting at stations	Arrival time	It will take __ by plane to arrive	Notifying someone	"30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour, 1 hour 15 min, 1 hour and a half, 2 hours, 2 hours and a half, 3 hours"	
in-vehicle	Arrival time	I should be in the __ at __	Notifying someone	"Office, school, airport, house, hospital, station, city, mall, bar, restaurant, gym, hotel, class -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	__ should be in the __ at __	Notifying someone	" The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Office, school, airport, house, hospital, station, city, mall, bar, restaurant, gym, hotel, class -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	I will be at __ at __	Notifying someone	"Work, home, airport, station, mall, restaurant, Starbucks, Bar -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside points-of-interest	Arrival time	I arrived at __ at __	Notifying someone		
inside points-of-interest	Arrival time	__ arrived at __ at __	Notifying someone	" The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Work, home, airport, station, mall, restaurant, Starbucks, Bar -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside points-of-interest	Arrival time	"I arrived at __ , __ ago"	Notifying someone	"Work, home, airport, station, mall, restaurant, Starbucks, Bar -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour"	
inside points-of-interest	Arrival time	"__ arrived at __ , __ ago"	Notifying someone	" The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Work, home, airport, station, mall, restaurant, Starbucks, Bar -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour"	
in-vehicle	Arrival time	"__  just arrived, I will be there soon"	Notifying someone	"Dad, mom, the son, the daughter, my wife, my husband, my friend, my colleague, the speaker, our guest "	
waiting at stations	Arrival time	"__ is coming, I will be there soon"	Notifying someone	"Dad, mom, the son, the daughter, my wife, my husband, my friend, my colleague, the speaker, our guest "	
in-vehicle	Arrival time	The plane landed; I will arrive in __	Notifying someone	" 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
in-vehicle	Arrival time	The plane landed; __ will arrive in __	Notifying someone	"Dad, mom, the son, the daughter, my wife, my husband, my friend, my colleague, the speaker, our guest  -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
in-vehicle	Arrival time	"The __ arrived, I will be there soon"	Notifying someone	"Train, bus, flight, driver"	
in-vehicle	Arrival time	"The __ arrived, I will be there in __"	Notifying someone	"Train, bus, flight, driver -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
in-vehicle	Arrival time	I just arrived	Notifying someone		
in-vehicle	Arrival time	__ just arrived	Notifying someone	"Dad, mom, the son, the daughter, my wife, my husband, my friend, my colleague, the speaker, our guest "	
in-vehicle	Arrival time	I am almost __	Notifying someone	"There, home, here"	
